demo,planner,mean_time_s,median_time_s,std_time_s,min_s, max_s,num_runs, 
Demo 1 - PDDL,UPF,0.06891,0.0687,0.00078,0.0678,0.0706,10
Demo 1 - PDDL,UPF4ROS2,0.08873,0.0667,0.03617,0.0653,0.1460,10
Demo 1,UPF,0.04425,0.0442,0.00093,0.0433,0.0467,10
Demo 1,UPF4ROS2,0.1766,0.1817,0.02737,0.1009,0.1949,10
Demo 2,UPF,0.04439,0.0444,0.00035,0.0438,0.0448,10
Demo 2,UPF4ROS2,0.18429,0.1816,0.00868,0.1771,0.2035,10
Demo 3,UPF,0.04703,0.0466,0.0013,0.0454,0.0498,10
Demo 3,UPF4ROS2,0.22318,0.2258,0.02218,0.1767,0.2592,10
Demo 3 - Harvest,UPF,0.18,0.04965,0.0048,0.0482,0.064,10
Demo 3 - Harvest,UPF4ROS2,0.30883,0.31305,0.05294,0.1778,0.3678,10
