demo,run,planner,time_s
Demo 1 - PDDL,1,UPF,0.0694
Demo 1 - PDDL,1,UPF4ROS2,0.146
Demo 1 - PDDL,2,UPF,0.0686
Demo 1 - PDDL,2,UPF4ROS2,0.1362
Demo 1 - PDDL,3,UPF,0.0687
Demo 1 - PDDL,3,UPF4ROS2,0.0659
Demo 1 - PDDL,4,UPF,0.0706
Demo 1 - PDDL,4,UPF4ROS2,0.0653
Demo 1 - PDDL,5,UPF,0.0695
Demo 1 - PDDL,5,UPF4ROS2,0.0663
Demo 1 - PDDL,6,UPF,0.0685
Demo 1 - PDDL,6,UPF4ROS2,0.1409
Demo 1 - PDDL,7,UPF,0.0685
Demo 1 - PDDL,7,UPF4ROS2,0.0675
Demo 1 - PDDL,8,UPF,0.0691
Demo 1 - PDDL,8,UPF4ROS2,0.0671
Demo 1 - PDDL,9,UPF,0.0678
Demo 1 - PDDL,9,UPF4ROS2,0.0661
Demo 1 - PDDL,10,UPF,0.0684
Demo 1 - PDDL,10,UPF4ROS2,0.066
Demo 1,1,UPF,0.0442
Demo 1,1,UPF4ROS2,0.1784
Demo 1,2,UPF,0.044
Demo 1,2,UPF4ROS2,0.1009
Demo 1,3,UPF,0.0435
Demo 1,3,UPF4ROS2,0.182
Demo 1,4,UPF,0.0443
Demo 1,4,UPF4ROS2,0.1808
Demo 1,5,UPF,0.0442
Demo 1,5,UPF4ROS2,0.1754
Demo 1,6,UPF,0.0437
Demo 1,6,UPF4ROS2,0.1813
Demo 1,7,UPF,0.0444
Demo 1,7,UPF4ROS2,0.1913
Demo 1,8,UPF,0.0442
Demo 1,8,UPF4ROS2,0.1949
Demo 1,9,UPF,0.0467
Demo 1,9,UPF4ROS2,0.1903
Demo 1,10,UPF,0.0433
Demo 1,10,UPF4ROS2,0.1907
Demo 2,1,UPF,0.0444
Demo 2,1,UPF4ROS2,0.1863
Demo 2,2,UPF,0.0443
Demo 2,2,UPF4ROS2,0.1782
Demo 2,3,UPF,0.0438
Demo 2,3,UPF4ROS2,0.1775
Demo 2,4,UPF,0.0448
Demo 2,4,UPF4ROS2,0.1838
Demo 2,5,UPF,0.0439
Demo 2,5,UPF4ROS2,0.1944
Demo 2,6,UPF,0.0444
Demo 2,6,UPF4ROS2,0.1771
Demo 2,7,UPF,0.0447
Demo 2,7,UPF4ROS2,0.1793
Demo 2,8,UPF,0.0442
Demo 2,8,UPF4ROS2,0.1778
Demo 2,9,UPF,0.0447
Demo 2,9,UPF4ROS2,0.2035
Demo 2,10,UPF,0.0447
Demo 2,10,UPF4ROS2,0.185
Demo 3,1,UPF,0.0454
Demo 3,1,UPF4ROS2,0.1767
Demo 3,2,UPF,0.0467
Demo 3,2,UPF4ROS2,0.2592
Demo 3,3,UPF,0.0465
Demo 3,3,UPF4ROS2,0.2365
Demo 3,4,UPF,0.0498
Demo 3,4,UPF4ROS2,0.2235
Demo 3,5,UPF,0.0464
Demo 3,5,UPF4ROS2,0.2193
Demo 3,6,UPF,0.0478
Demo 3,6,UPF4ROS2,0.228
Demo 3,7,UPF,0.0485
Demo 3,7,UPF4ROS2,0.2003
Demo 3,8,UPF,0.0465
Demo 3,8,UPF4ROS2,0.2213
Demo 3,9,UPF,0.0461
Demo 3,9,UPF4ROS2,0.2363
Demo 3,10,UPF,0.0466
Demo 3,10,UPF4ROS2,0.2307
Demo 3 - Harvest,1,UPF,0.064
Demo 3 - Harvest,1,UPF4ROS2,0.1778
Demo 3 - Harvest,2,UPF,0.0491
Demo 3 - Harvest,2,UPF4ROS2,0.3216
Demo 3 - Harvest,3,UPF,0.0486
Demo 3 - Harvest,3,UPF4ROS2,0.3397
Demo 3 - Harvest,4,UPF,0.0499
Demo 3 - Harvest,4,UPF4ROS2,0.3008
Demo 3 - Harvest,5,UPF,0.0506
Demo 3 - Harvest,5,UPF4ROS2,0.3045
Demo 3 - Harvest,6,UPF,0.0482
Demo 3 - Harvest,6,UPF4ROS2,0.283
Demo 3 - Harvest,7,UPF,0.0486
Demo 3 - Harvest,7,UPF4ROS2,0.3028
Demo 3 - Harvest,8,UPF,0.0494
Demo 3 - Harvest,8,UPF4ROS2,0.3408
Demo 3 - Harvest,9,UPF,0.0502
Demo 3 - Harvest,9,UPF4ROS2,0.3495
Demo 3 - Harvest,10,UPF,0.054
Demo 3 - Harvest,10,UPF4ROS2,0.3678
